key	value
default	NoValue
StartGame	开始游戏
MyFavoite	我的收藏
Finsih	完成
Score	得分
ExaminePoem	查看全诗
TryAgain	再来一次
BackMenu	回主菜单
bad	差
normal	一般
good	很好
nice	极好
perfect	完美
score	得分：{0}
combo	连击：{0}
Back	返回
Exercise	练习
AddToFavorites	加入收藏
RemoveTheFavorite	移除收藏
HundredPoemHit	百诗斩
return	返回
option	设置
difficulty	难度
PoemLibrary	诗库
language	语言
easy	耳熟能详
hard	略微生僻
songci	宋词
tangshi	唐诗
maxCombo	最大连击数：{0}/{1}
fullCombo	全部连击！
unfinish	不及格
GameNice	炉火纯青!
GamePerfect	完美无瑕！
GameGood	渐入佳境
GameVeryGood	得心应手
finish	差强人意
