key	value
default	NoValue
StartGame	Start Game
MyFavoite	MyFavotite
Finsih	Finish
Score	Score
ExaminePoem	Examine Poem
TryAgain	Try Again
BackMenu	Back Menu
bad	Bad
normal	Normal
good	Good
nice	Nice
perfect	Perfact
score	Score:{0}
combo	Combo:{0}
Exercise	Exercise
Back	Back
AddToFavorites	Add To Favorite
RemoveTheFavorite	Remove The Favorite
HundredPoemHit	Hundred Poem Hit
return	Back
option	Option
difficulty	Difficulty
PoemLibrary	Poem Library
language	Language
easy	Familiar
hard	Rare
songci	Poetry Of The Song Dynast
tangshi	Poetry Of The Tang Dynasty
maxCombo	Max Combo:{0}/{1}
fullCombo	Full Combo!
unfinish	Unfinish
GameNice	Nice!
GamePerfect	Perfect!
GameGood	Good
GameVeryGood	Very Good
finish	Finish
