poemID	poemName	author	description	content
type	String	String	String	StringArray
note	诗名	作者	描述	内容
default	无题	匿名	无描述	
songci_normal_01				帘外雨潺潺|春意阑珊|罗衾不耐五更寒|梦里不知身是客|一晌贪欢|(space)|独自莫凭栏|无限江山|别时容易见时难|流水落花春去也|天上人间
songci_normal_02				阅尽天涯离别苦|不道归来|零落花如许|花底相看无一语|绿窗春与天俱莫|(space)|待把相思灯下诉|一缕新欢|旧恨千千缕|最是人间留不住|朱颜辞镜花辞树
songci_normal_03				碧云天|黄叶地|秋色连波|波上寒烟翠|山映斜阳天接水|芳草无情|更在斜阳外|(space)|黯乡魂|追旅思|夜夜除非|好梦留人睡|明月楼高休独倚|酒入愁肠|化作相思泪
songci_normal_04				碧云天|黄叶地|秋色连波|波上寒烟翠|山映斜阳天接水|芳草无情|更在斜阳外|(space)|黯乡魂|追旅思|夜夜除非|好梦留人睡|明月楼高休独倚|酒入愁肠|化作相思泪
songci_normal_05				老夫聊发少年狂|左牵黄|右擎苍|锦帽貂裘|千骑卷平冈|为报倾城随太守|亲射虎|看孙郎|(space)|酒酣胸胆尚开张|鬓微霜|又何妨|持节云中|何日遣冯唐|会挽雕弓如满月|西北望|射天狼
songci_normal_06	无题	匿名	无描述	纷纷坠叶飘香砌|夜寂静|寒声碎|真珠帘卷玉楼空|天淡银河垂地|年年今夜|月华如练|长是人千里|(space)|愁肠已断无由醉|酒未到|先成泪|残灯明灭枕头敧|谙尽孤眠滋味|都来此事|眉间心上|无计相回避
songci_normal_07				大江东去|浪淘尽|千古风流人物|故垒西边|人道是|三国周郎赤壁|乱石穿空|惊涛拍岸|卷起千堆雪|江山如画|一时多少豪杰|(space)|遥想公瑾当年|小乔初嫁了|雄姿英发|羽扇纶巾|谈笑间|强虏灰飞烟灭|故国神游|多情应笑我|早生华发|人生如梦|一尊还酹江月
songci_normal_08				十年生死两茫茫|不思量|自难忘|千里孤坟|无处话凄凉|纵使相逢应不识|尘满面|鬓如霜|(space)|夜来幽梦忽还乡|小轩窗|正梳妆|相顾无言|惟有泪千行|料得年年肠断处|明月夜|短松冈
songci_normal_09				林断山明竹隐墙|乱蝉衰草小池塘|翻空白鸟时时见|照水红蕖细细香|(space)|村舍外|古城旁|杖藜徐步转斜阳|殷勤昨夜三更雨|又得浮生一日凉
songci_normal_10				明月几时有|把酒问青天|不知天上宫阙|今夕是何年|我欲乘风归去|又恐琼楼玉宇|高处不胜寒|起舞弄清影|何似在人间|(space)|转朱阁|低绮户|照无眠|不应有恨|何事长向别时圆|人有悲欢离合|月有阴晴圆缺|此事古难全|但愿人长久|千里共婵娟
songci_normal_11				寒蝉凄切|对长亭晚|骤雨初歇|都门帐饮无绪|留恋处|兰舟催发|执手相看泪眼|竟无语凝噎|念去去千里烟波|暮霭沉沉楚天阔|(space)|多情自古伤离别|更那堪|冷落清秋节|今宵酒醒何处|杨柳岸|晓风残月|此去经年|应是良辰好景虚设|便纵有千种风情|更与何人说
songci_normal_12				去年元夜时|花市灯如昼|月到柳梢头|人约黄昏后|(space)|今年元夜时|月与灯依旧|不见去年人|泪满春衫袖
songci_normal_13				东风夜放花千树|更吹落|星如雨|宝马雕车香满路|凤箫声动|玉壶光转|一夜鱼龙舞|(space)|蛾儿雪柳黄金缕|笑语盈盈暗香去|众里寻她千百度|蓦然回首|那人却在|灯火阑珊处
songci_normal_14				塞下秋来风景异|衡阳雁去无留意|四面边声连角起|千嶂里|长烟落日孤城闭|(space)|浊酒一杯家万里|燕然未勒归无计|羌管悠悠霜满地|人不寐|将军白发征夫泪
